obs,Benzina,Gasolio,GPL
1996M01,904.18,728.52,NA
1996M02,907.09,725.89,NA
1996M03,917.83,734.14,NA
1996M04,931.48,744.82,NA
1996M05,929.94,726.8,NA
1996M06,924.06,718.7,NA
1996M07,924.72,716.24,NA
1996M08,926.01,717.98,NA
1996M09,926.39,736.71,NA
1996M10,929.26,767.39,NA
1996M11,939.44,766.28,NA
1996M12,936.32,759.52,NA
1997M01,938.82,762.57,NA
1997M02,942.26,759.08,NA
1997M03,944.48,748.55,NA
1997M04,939.78,740.25,NA
1997M05,939.35,738.97,NA
1997M06,940.8,739.27,472.24
1997M07,939.19,732.79,467.64
1997M08,947.07,740.27,464.01
1997M09,945.2,735.56,465.21
1997M10,947.57,741.62,468.98
1997M11,946.48,746.64,475.9
1997M12,935.79,746.98,476.81
1998M01,930.69,738.48,468.11
1998M02,925.88,729.86,455.53
1998M03,912.41,718.29,448.15
1998M04,908.6,715.09,445.7
1998M05,912.36,719.09,445.59
1998M06,912.03,712.4,443.4
1998M07,913.33,706.28,439.9
1998M08,909.71,702.58,439.06
1998M09,906.38,700.02,439.04
1998M10,904.22,700.28,444.6
1998M11,897.64,700.13,455.74
1998M12,885.21,690.57,464.96
1999M01,885.59,696.47,465.66
1999M02,893.47,706.77,452.67
1999M03,905.33,717.09,460.31
1999M04,934.12,741.37,465.65
1999M05,949.7,751.06,465.84
1999M06,949.06,744.52,466.14
1999M07,969.96,764.22,473.01
1999M08,982.52,772.49,481.52
1999M09,995.44,787.56,495.08
1999M10,998.54,796.13,499.68
1999M11,986.35,789.34,490.75
1999M12,1010.62,827.95,499.06
2000M01,1008.17,843.31,508.16
2000M02,1021.43,844.26,522.87
2000M03,1059.34,857.88,539.5
2000M04,1046.93,842.38,536.77
2000M05,1066.23,854.64,536.28
2000M06,1107.3,872.83,533.88
2000M07,1118.13,879.51,533.98
2000M08,1100.1,884.04,536.98
2000M09,1117.94,927.94,549.65
2000M10,1114.66,957.46,560.01
2000M11,1117.27,968.87,571.08
2000M12,1091.29,962.21,573.83
2001M01,1046.74,912.56,573.1
2001M02,1048.67,885.35,572.47
2001M03,1051.86,872.08,564.47
2001M04,1070.51,860.76,559.63
2001M05,1111.5,871.7,558.29
2001M06,1110.86,880.2,555.9
2001M07,1064.2,877.49,538.23
2001M08,1042.01,861.17,518.71
2001M09,1050.39,858.39,514.94
2001M10,1026.77,850.5,511.09
2001M11,1006.37,855.06,515.36
2001M12,993.15,839.21,504.5
2002M01,992.39,836.14,501.68
2002M02,1000.95,837.04,507
2002M03,1023.92,844.64,508.85
2002M04,1063.36,866.36,514.68
2002M05,1071.58,868.07,516.88
2002M06,1061.11,857.43,513.92
2002M07,1052.43,846.06,507.83
2002M08,1052.57,842.69,508
2002M09,1061.73,859.39,522.5
2002M10,1068.08,875.67,539.93
2002M11,1052.98,864.11,544.84
2002M12,1045.69,864.37,552.16
2003M01,1068.53,891.6,562.78
2003M02,1087.79,906.23,577.53
2003M03,1095.02,936.62,591.58
2003M04,1065.23,906.74,574.45
2003M05,1039.79,860.9,534
2003M06,1032.03,845.88,515.63
2003M07,1045.49,850.63,515.13
2003M08,1065.9,865.55,516.74
2003M09,1071.84,863.72,518.88
